X,Y,Z,Scat_Angle,DoCA
65.7203,54.0794,-84.4164,0.0134888,0.000290844
87.9221,78.2376,-55.007,-0.00687981,0.266043
61.7281,65.9696,-46.2824,-0.000368947,0.0335696
56.9986,82.0403,-58.338,-0.000430435,0.214289
52.4202,81.4,-87.7428,0.00690192,0.00370584
99.851,94.9591,-84.6102,0.00212006,0.503282
71.0552,72.3351,-55.5636,0.00845985,0.352241
92.4117,80.7357,-49.8085,0.00465203,0.194192
96.1665,85.7149,-50.4042,-0.00211604,1.87314
61.1112,63.5485,-85.1451,0.014739,0.579861
95.4019,60.0683,-70.7182,-0.00224669,0.90042
72.1964,56.7976,-67.2091,0.0379469,0.299391
51.352,98.7362,-70.751,-0.0841271,0.361586
53.3207,55.0781,-88.4009,0.00173382,0.00189931
60.4163,93.831,-57.1618,0.030149,1.02157
58.3637,79.213,-76.0645,0.0050412,0.0632734
97.2331,71.9031,-73.8422,0.0040055,0.0853505
90.3768,62.5131,-66.7831,0.0154691,0.0878919
94.3671,58.4011,-85.4512,-0.00756667,1.73751
73.4468,63.6729,-66.3729,0.0140636,0.0412046
51.3467,59.8363,-69.4316,0.0170248,0.0267237
62.6037,64.1669,-50.6361,-0.027036,2.44796
52.617,52.1049,-77.3127,-0.00198144,0.00384911
71.9389,63.053,-56.0548,0.00112602,1.17806
83.6272,92.8779,-57.923,-0.0032203,0.114106
53.1627,69.292,-88.5853,0.0477217,5.6507
58.0829,92.5222,-62.7156,-0.0108539,0.0602242
61.8954,200.179,-93.3218,0.0084421,3.82663
50.6914,240.26,-97.9338,0.00358138,0.0106726
97.2881,216.02,-124.475,-0.0340075,0.494534
96.2532,235.962,-102.316,-0.00118636,0.0450953
74.0316,247.921,-111.453,0.00105565,0.00500321
76.2249,236.783,-112.932,-0.0057677,0.842393
53.0744,244.882,-93.4763,-0.000348445,0.00190746
99.2927,239.237,-126.243,-0.120241,2.92253
68.6726,223.145,-119.583,0.084836,4.01335
93.8411,212.112,-108.397,0.0551933,4.80102
84.481,242.657,-133.325,0.000460078,0.0517565
58.7468,244.15,-129.274,0.00052778,0.151481
86.353,220.354,-99.7936,0.202596,8.38079
58.5901,243.245,-109.487,-0.00511692,0.571614
51.6562,237.957,-94.1423,-0.00447477,0.0241781
78.2196,226.158,-97.2437,0.000648761,0.0502011
90.4623,233.967,-106.134,0.00393655,0.0573294
65.0049,210.727,-121.459,-0.0349943,8.61693
54.2835,239.333,-96.1935,0.0122557,0.283549
67.6876,238.155,-106.165,-0.00131593,0.0170658
52.8323,236.478,-100.156,0.0161836,0.00320469
52.2435,200.78,-125.147,0.000573218,0.0116197
51.323,209.065,-103.95,0.00473954,0.0158732
60.4557,231.321,-98.6815,0.00259601,0.0718561
67.1423,230.701,-103.607,-0.0381466,1.47416
66.0632,215.559,-103.592,-0.00151731,0.000375505
59.4946,230.06,-98.126,-0.00346771,0.00718502
85.5401,245.618,-92.7613,0.0155687,0.0259435
84.7145,240.943,-121.464,0.00244118,0.0599051
55.3047,207.481,-91.2975,-0.00764984,0.0273389
50.6697,235.548,-97.4159,-0.00369326,0.020913
67.3471,245.044,-98.4839,0.00660565,0.1506
55.6568,213.485,-122.893,-0.00614732,0.153486
57.676,226.308,-100.805,0.000598383,0.0341394
76.4649,211.181,-128.529,0.000396501,0.603248
51.1094,209.23,-102.454,-0.00188718,0.473537
52.1616,242.812,-97.7373,0.00362922,0.006377
78.7613,241.008,-102.795,0.00641734,0.061478
74.8772,200.155,-126.372,-0.00416866,0.0737401
87.9232,200.971,-96.0706,0.0103953,0.561915
61.0455,247.503,-90.0496,0.00943557,0.158478
50.3974,220.906,-99.1053,0.0102403,0.014751
65.6289,247.657,-95.9424,-0.00378924,0.00443485
55.622,204.691,-93.6003,0.016442,0.00128857
86.1645,221.148,-105.877,-0.00375904,0.0957783
66.4715,248.485,-90.9335,0.00221885,0.201118
80.9056,237.569,-91.0046,-0.0156137,1.83757
52.9298,220.141,-101.38,0.00441879,0.0443027
85.9696,204.753,-97.9637,-0.00247712,1.51369
80.9638,224.72,-104.065,-0.0860744,1.61755
50.2531,222.622,-93.1647,0.00926819,0.0491787
78.4739,229.9,-100.653,-0.029313,0.847274
63.7323,225.566,-99.7761,-0.0311241,0.151609
54.209,243.232,-95.6016,0.00241123,0.000219665
50.987,220.013,-126.311,-0.00309429,0.950355
73.7214,237.075,-114.788,-0.00282794,0.207332
53.7623,208.182,-100.48,0.00139001,0.00741034
76.5085,232.83,-123.193,0.00860401,0.948574
58.7743,246.718,-93.2686,0.0104177,0.105778
56.1828,243.272,-102.842,0.00284663,0.0146751
87.836,240.048,-95.9103,-0.006737,0.183932
63.4401,249.11,-95.6586,0.000741974,0.000564145
82.6468,200.211,-120.902,0.122065,8.98981
95.1867,246.259,-95.8526,0.000409234,0.266608
61.9774,231.477,-103.886,0.00344956,0.0602856
65.0411,209.746,-100.717,-0.00225958,0.000411283
84.7974,245.417,-94.7147,0.00934213,0.0383961
60.3247,211.994,-106.493,0.00101723,0.032721
52.6641,243.368,-101.117,-0.00364134,0.00521908
54.8318,249.488,-94.8714,0.000594958,0.018183
86.8037,232.083,-94.9272,0.00956788,0.351144
50.5744,247.959,-90.6419,-0.000833541,0.00390323
82.8867,236.011,-92.1454,-0.00916561,0.46516
51.097,238.835,-92.7742,0.00103712,0.0106125
73.9192,241.451,-96.9599,-0.0175528,0.785527
72.7717,214.606,-108.81,-0.0532082,0.421012
59.0143,240.914,-108.199,-0.122165,0.709539
67.926,247.243,-95.6069,0.000374283,0.00144592
65.8109,218.684,-98.1253,0.0120817,0.296759
68.6865,213.451,-127.733,0.0118685,0.813489
55.418,217.243,-103.949,-0.00374594,0.0378925
72.1066,249.701,-99.0174,0.00960661,0.0848005
54.6336,202.399,-101.26,-0.00123337,0.0374723
83.2804,249.753,-100.058,0.000372439,0.0195501
57.2186,204.4,-95.918,0.00276802,0.0530555
57.1673,231.311,-99.0044,-0.00741005,0.132082
